"Source:","C:\GitHubProjects\PGKB\PCB\Rev 02.00\000018 PGKB\000018 PGKB.kicad_sch"
"Date:","24/01/2024 22.51.38"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","147"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","DNP","MFG_PartNo","Manufacturer","Price","Sim.Enable","Supplier","Supplier_PartNo","Value"
"","","J1","USB C","KD_Connector_USB_HDMI_Etc:USB_C_V_GCT_USB4085-GF-A","KD_Connector_USB_HDMI_Etc:USB_C_Receptacle_GCT_USB4085","https://gct.co/files/drawings/usb4085.pdf","","F","USB4085-GF-A","GCT","0.85","","Digi-Key","2073-USB4085-GF-ACT-ND","USB C"
"","","J2","BM04B-SRSS-TB","KD_Connector_Rectangular:JST_PH_1X04_S4B-PH-SM4-TB","KD_Connector_Rectangular:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","F","S4B-PH-SM4-TB","JST Sales America Inc.","0.7","","Digi-Key","455-S4B-PH-SM4-TBCT-ND","S4B-PH-SM4-TB"
"","","R1","R_0603_5100_1%","KD_Resistor:R_0603_5100_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","5k1","F","RMCF0603JT5K10","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603JT5K10CT-ND","R_0603_5100_1%"
"","","R2","R_0603_5100_1%","KD_Resistor:R_0603_5100_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","5k1","F","RMCF0603JT5K10","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603JT5K10CT-ND","R_0603_5100_1%"
"","","R3","R_0603_10_5%","KD_Resistor:R_0603_10_5%","KD_Resistor:RESC1608X55N","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English","10","F","WR06X100 JTL","Walsin Technology Corporation","0.01","","Digi-Key","1292-WR06X100JTLCT-ND","R_0603_10_5%"
"","","R4","R_0603_10_5%","KD_Resistor:R_0603_10_5%","KD_Resistor:RESC1608X55N","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English","10","F","WR06X100 JTL","Walsin Technology Corporation","0.01","","Digi-Key","1292-WR06X100JTLCT-ND","R_0603_10_5%"
"","","R5","1k","KD_Resistor:R_0603_1k_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","1k","F","RMCF0603JT1K00","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603JT1K00CT-ND","1k"
"","","R6","1k","KD_Resistor:R_0603_1k_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","1k","F","RMCF0603JT1K00","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603JT1K00CT-ND","1k"
"","","R7","1k","KD_Resistor:R_0603_1k_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","1k","F","RMCF0603JT1K00","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603JT1K00CT-ND","1k"
"","","R8","1k","KD_Resistor:R_0603_1k_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","1k","F","RMCF0603JT1K00","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603JT1K00CT-ND","1k"
